0,0
-23.579,-5.0888
-52.807,-45.542
-5.5051,20.441
-34.233,11.8
-13.552,7.5619
-5.3744,-79.837
-7.0297,65.78
-33.371,-44.87
-25.356,-23.442
-40.727,-68.659
-51.223,-34.102
-35.501,0.038481
-6.7718,-44.579
-32.159,-86.668
-24.016,30.907
-11.44,-69.881
-6.6053,32.569
-57.768,-22.42
-19.407,-3.8259
-6.2474,-27.529
-22.048,-30.853
-47.387,18.804
-41.664,38.632
-45.706,34.57
-11.192,-82.573
0,0
-44.278,-22.569
-5.3582,-18.899
-40.218,-6.6284
-8.0198,-59.067
-25.583,0.95011
-5.453,36.825
-31.497,46.56
-10.12,29.29
-21.008,-65.522
-52.685,-11.314
-54.098,-36.177
-28.266,12.269
-12.546,-18.361
-44.507,-21.621
